time,posX,velX,accelX,posY,velY,accelY,posZ,velZ,accelZ,someValue
1.71000000,884.75603158,-77.78330722,0,-60.47389550,-7.05387253,0,419.70000000,70.00000000,0,0
1.72000000,883.97803921,-77.81489357,0,-60.54264720,-6.69644225,0,420.40000000,70.00000000,0,0
1.73000000,883.19973918,-77.84483746,0,-60.60782388,-6.33887064,0,421.10000000,70.00000000,0,0
1.74000000,882.42114794,-77.87313826,0,-60.66942417,-5.98116522,0,421.80000000,70.00000000,0,0
1.75000000,881.64228190,-77.89979538,0,-60.72744676,-5.62333356,0,422.50000000,70.00000000,0,0
1.76000000,880.86315751,-77.92480824,0,-60.78189044,-5.26538321,0,423.20000000,70.00000000,0,0
1.77000000,880.08379121,-77.94817633,0,-60.83275406,-4.90732172,0,423.90000000,70.00000000,0,0
1.78000000,879.30419947,-77.96989915,0,-60.88003653,-4.54915665,0,424.60000000,70.00000000,0,0
1.79000000,878.52439872,-77.98997624,0,-60.92373687,-4.19089556,0,425.30000000,70.00000000,0,0
1.80000000,877.74440543,-78.00840718,0,-60.96385415,-3.83254601,0,426.00000000,70.00000000,0,0
1.81000000,876.96423606,-78.02519158,0,-61.00038752,-3.47411556,0,426.70000000,70.00000000,0,0
1.82000000,876.18390709,-78.04032908,0,-61.03333621,-3.11561179,0,427.40000000,70.00000000,0,0
1.83000000,875.40343497,-78.05381937,0,-61.06269954,-2.75704226,0,428.10000000,70.00000000,0,0
1.84000000,874.62283619,-78.06566216,0,-61.08847687,-2.39841453,0,428.80000000,70.00000000,0,0
1.85000000,873.84212722,-78.07585719,0,-61.11066766,-2.03973618,0,429.50000000,70.00000000,0,0
1.86000000,873.06132454,-78.08440426,0,-61.12927145,-1.68101477,0,430.20000000,70.00000000,0,0
1.87000000,872.28044463,-78.09130319,0,-61.14428784,-1.32225789,0,430.90000000,70.00000000,0,0
1.88000000,871.49950397,-78.09655383,0,-61.15571651,-0.96347309,0,431.60000000,70.00000000,0,0
1.89000000,870.71851905,-78.10015606,0,-61.16355723,-0.60466796,0,432.30000000,70.00000000,0,0
1.90000000,869.93750634,-78.10210982,0,-61.16780983,-0.24585006,0,433.00000000,70.00000000,0,0
1.91000000,869.15648235,-78.10241505,0,-61.16847421,0.11297302,0,433.70000000,70.00000000,0,0
1.92000000,868.37546354,-78.10107176,0,-61.16555037,0.47179372,0,434.40000000,70.00000000,0,0
1.93000000,867.59446641,-78.09807998,0,-61.15903837,0.83060446,0,435.10000000,70.00000000,0,0
1.94000000,866.81350743,-78.09343976,0,-61.14893834,1.18939767,0,435.80000000,70.00000000,0,0
1.95000000,866.03260311,-78.08715120,0,-61.13525050,1.54816578,0,436.50000000,70.00000000,0,0
1.96000000,865.25176990,-78.07921444,0,-61.11797514,1.90690120,0,437.20000000,70.00000000,0,0
1.97000000,864.47102431,-78.06962965,0,-61.09711261,2.26559638,0,437.90000000,70.00000000,0,0
